,Price,Transmission,Power,Engine CC,Male,Female,Unknown,Total,Fuel_2.0
0,30.61932203,5.966101695,94.03389831,1497.169492,814172,422731,56487,1293390,0
1,18.53214286,5.714285714,68.57142857,1166.142857,554879,631666,54057,1240602,0
2,31.24215385,6.164835165,89.46153846,1537.406593,483216,310604,47563,841383,0
3,22.1,5.615384615,75.57692308,1219.653846,241287,312556,28004,581847,0
4,47.84837037,6.444444444,126.1111111,1995.777778,408016,115843,29125,552984,0
5,18.1925,5.074074074,60.96296296,1408.055556,216333,299110,31701,547144,0
6,20.03375,4.833333333,71.33333333,1631.5,178698,250614,26135,455447,0
7,39.97375,1.75,130.25,1998.5,357452,69603,16550,443605,0
8,20.3776087,4.869565217,67.95652174,1279.695652,143218,253000,26619,422837,0
9,29.942625,4.5,106.225,1480.575,242188,132958,21042,396188,0
10,15.46,5.0,60.8,1196.0,102708,269428,20324,392460,0
11,26.4498867,5.408866995,87.31034483,1623.793103,209379,156607,21049,387035,0
12,20.7206,3.52,74.4,1397.8,137907,214944,27670,380521,0
13,46.5274,7.04,131.6,1596.92,209476,69373,17242,296091,0
14,57.92693548,6.161290323,149.7096774,2283.112903,202037,59936,13629,275602,0
15,46.06451282,6.487179487,125.4358974,1835.846154,211510,48599,14505,274614,0
16,26.3525,0.0,80.0,1498.0,105551,136875,15698,258124,0
17,36.21929825,6.473684211,94.33333333,1424.666667,144962,97033,14460,256455,0
18,27.46483636,4.872727273,86.45454545,1723.0,132728,108991,14395,256114,0
19,21.70216667,4.9,79.76666667,1536.0,99472,138839,13442,251753,0
20,22.36209302,4.88372093,72.58139535,1743.44186,145377,87029,11519,243925,0
21,19.00794118,5.205882353,66.97058824,1292.352941,109408,87532,10776,207716,0
22,37.4265,6.2,104.2,1796.6,103719,87660,11806,203185,0
23,43.86363077,5.292307692,105.1692308,2083.523077,118279,59369,9921,187569,1
24,22.90364865,5.405405405,75.64864865,1364.0,78551,98254,9893,186698,0
25,27.23911864,3.033898305,91.61016949,1677.949153,104996,67184,12042,184222,0
26,93.71425,8.0,225.0,2979.0,138584,21302,9443,169329,0
27,37.31523077,4.323076923,103.6769231,1873.261538,123806,29728,9574,163108,0
28,78.07322727,7.672727273,192.4,2598.818182,125070,24029,9465,158564,0
29,32.06304348,5.956521739,89.34782609,1472.826087,85989,62467,8346,156802,1
30,19.93814035,5.649122807,76.31578947,1205.192982,74717,73895,6282,154894,0
31,107.4521429,8.0,182.5714286,2425.428571,112207,29981,6388,148576,1
32,107.6705126,8.277310924,196.3361345,2521.092437,107520,34079,6847,148446,1
33,34.93603125,5.25,97.71875,1820.65625,79290,56539,8830,144659,1
34,30.65053846,6.346153846,95.0,1136.692308,110428,25662,6147,142237,0
35,26.29166667,5.6,74.73333333,1186.333333,30349,102113,8177,140639,1
36,31.1045119,4.547619048,93.01190476,1699.119048,55510,68928,9727,134165,0
37,22.78208333,4.916666667,81.66666667,1847.666667,78034,44706,7892,130632,0
